School,Subject50_2024,Subject70_2024,Comprehensive50_2024,Comprehensive70_2024,Subject50_2023,Subject70_2023,Comprehensive50_2023,Comprehensive70_2023,Remarks
"한양대 컴퓨터소프트웨어학부",1.17,1.22,1.53,2.99,1.19,1.22,1.48,1.55,
"고려대 컴퓨터학부",1.27,1.32,1.67,1.73,,,,
"이화여대 컴퓨터공학전공",1.63,1.71,1.91,1.96,1.69,1.71,1.98,2.02,
"경희대 컴퓨터공학부 컴퓨터공학과",1.63,1.70,1.92,2.14,,,,
"경희대 컴퓨터공학부 인공지능학과",1.72,1.78,1.93,1.94,,,,
"성균관대 소프트웨어학과",1.52,1.55,1.96,2.28,1.47,1.61,1.89,2.46,"종합: 탐구형"
"경희대 소프트웨어융합학과",1.71,1.77,2.00,2.19,,,,
"서울시립대 전자전기컴퓨터공학부",1.73,1.76,2.06,2.18,,,,
"서울시립대 컴퓨터과학부",1.72,1.88,2.18,2.24,,,,
"홍익대 컴퓨터공학과",1.92,2.03,2.28,2.43,1.75,1.79,2.27,2.35,
"성균관대 글로벌융합학부",1.51,1.55,2.69,3.28,1.65,1.80,2.49,2.77,"종합: 융합형"
